1;25;Tatabánya;Budapest;1970-01-01 00:00:00;1970-01-01 00:20:00;47
2;25;Budapest;Tatabánya;1970-01-01 01:00:00;1970-01-01 01:20:00;47
3;25;Tatabánya;Budapest;1970-01-01 02:00:00;1970-01-01 02:20:00;47
4;25;Budapest;Tatabánya;1970-01-01 03:00:00;1970-01-01 03:20:00;47
5;25;Tatabánya;Budapest;1970-01-01 04:00:00;1970-01-01 04:20:00;47
6;25;Budapest;Tatabánya;1970-01-01 05:00:00;1970-01-01 05:20:00;47
7;25;Tatabánya;Budapest;1970-01-01 06:00:00;1970-01-01 06:20:00;47
8;25;Budapest;Tatabánya;1970-01-01 07:00:00;1970-01-01 07:20:00;47
9;25;Tatabánya;Budapest;1970-01-01 08:00:00;1970-01-01 08:20:00;47
10;25;Budapest;Tatabánya;1970-01-01 09:00:00;1970-01-01 09:20:00;47
11;25;Tatabánya;Budapest;1970-01-01 10:00:00;1970-01-01 10:20:00;47
12;25;Budapest;Tatabánya;1970-01-01 11:00:00;1970-01-01 11:20:00;47
13;25;Tatabánya;Budapest;1970-01-01 12:00:00;1970-01-01 12:20:00;47
14;25;Budapest;Tatabánya;1970-01-01 13:00:00;1970-01-01 13:20:00;47
15;25;Tatabánya;Budapest;1970-01-01 14:00:00;1970-01-01 14:20:00;47
16;25;Budapest;Tatabánya;1970-01-01 15:00:00;1970-01-01 15:20:00;47
17;25;Tatabánya;Budapest;1970-01-01 16:00:00;1970-01-01 16:20:00;47
18;25;Budapest;Tatabánya;1970-01-01 17:00:00;1970-01-01 17:20:00;47
19;25;Tatabánya;Budapest;1970-01-01 18:00:00;1970-01-01 18:20:00;47
20;25;Budapest;Tatabánya;1970-01-01 19:00:00;1970-01-01 19:20:00;47
21;25;Tatabánya;Budapest;1970-01-01 20:00:00;1970-01-01 20:20:00;47
22;25;Budapest;Tatabánya;1970-01-01 21:00:00;1970-01-01 21:20:00;47
23;25;Tatabánya;Budapest;1970-01-01 22:00:00;1970-01-01 22:20:00;47
24;25;Budapest;Tatabánya;1970-01-01 23:00:00;1970-01-01 23:20:00;47


























